Shanghai,DOW,Y
238.25,1076.699951,5.43
240.62,1059.569946,5.43
242.24,1060.030029,5.43
244.5,1064.140015,5.43
246.31,1051.209961,5.43
248.53,1049.689941,5.43
250.85,1055.180054,5.43
252.97,1050.660034,5.43
255.45,1048.900024,5.43
257.35,1066.079956,5.45
259.6,1070.050049,5.45
262.19,1064.689941,5.45
264.81,1055.5,5.46
265.77,1055.410034,5.46
266.66,1048.579956,5.45
269.35,1043.079956,5.45
270.27,1040.27002,5.45
272.91,1056.060059,5.46
273.71,1063.630005,5.46
274.41,1063.079956,5.46
277,1055.5,5.46
277.85,1057.349976,5.47
278.68,1056.199951,5.47
279.51,1064.599976,5.46
280.17,1097.890015,5.46
282.83,1110.130005,5.46
285.65,1124.310059,5.47
286.22,1128.089966,5.47
287.15,1150.77002,5.47
288.03,1156.819946,5.47
290.85,1152.380005,5.47
291.71,1161.339966,5.47
292.75,1162.819946,5.47
293.75,1167.25,5.47
296.52,1166.280029,5.47
297.68,1162.219971,5.47
298.77,1154.180054,5.47
299.66,1152.47998,5.46
300.62,1172.050049,5.47
301.83,1184.569946,5.48
303.06,1184.709961,5.48
305.74,1181.890015,5.48
306.63,1177.359985,5.48
306.85,1165.959961,5.48
307.38,1178.839966,5.48
307.39,1166.050049,5.48
307.87,1162.170044,5.48
307.95,1161.849976,5.48
308.53,1168.410034,5.48
309.05,1155.75,5.48
311.61,1163.969971,5.48
311.84,1155.52002,5.48
312.42,1158.660034,5.48
312.73,1168.180054,5.49
313.24,1167.849976,5.49
314.18,1169.650024,5.49
314.72,1160.050049,5.49
315.56,1166.369995,5.49
316.43,1169.01001,5.49
316.44,1178.930054,5.49
317.04,1166.560059,5.49
319.68,1171.130005,5.49
319.77,1168.819946,5.49
337.11,1170.810059,5.48
342.41,1192.829956,5.48
347.99,1190.569946,5.49
359.59,1186.920044,5.49
360.5,1177.089966,5.49
360.37,1186.650024,5.49
360.1,1180.969971,5.48
362.45,1179.439941,5.48
364.66,1184.199951,5.48
365.39,1190.430054,5.48
367,1184.939941,5.48
368.32,1174.780029,5.48
369.76,1163.930054,5.48
371.76,1161.939941,5.48
373.53,1166.51001,5.48
375.23,1157,5.48
376.14,1157.689941,5.48
376.92,1164.390015,5.48
