Shanghai,Shanghai 2,Shanghai 2,Shanghai 2,Shanghai 2,Shanghai 2,Shanghai 2,DOW,DOW,DOW,DOW,DOW,DOW,DOW,Y
133.01,133.47,133.93,134.4,134.87,134.28,133.67,1031.359985,1033.22998,1022.080017,1034.150024,1033.140015,1031.890015,1032.180054,5.24
132.53,133.01,133.47,133.93,134.4,134.87,134.28,1042.52002,1031.359985,1033.22998,1022.080017,1034.150024,1033.140015,1031.890015,5.24
131.99,132.53,133.01,133.47,133.93,134.4,134.87,1040.060059,1042.52002,1031.359985,1033.22998,1022.080017,1034.150024,1033.140015,5.24
131.46,131.99,132.53,133.01,133.47,133.93,134.4,1059.300049,1040.060059,1042.52002,1031.359985,1033.22998,1022.080017,1034.150024,5.24
130.94,131.46,131.99,132.53,133.01,133.47,133.93,1053.77002,1059.300049,1040.060059,1042.52002,1031.359985,1033.22998,1022.080017,5.24
130.41,130.94,131.46,131.99,132.53,133.01,133.47,1048.719971,1053.77002,1059.300049,1040.060059,1042.52002,1031.359985,1033.22998,5.24
129.89,130.41,130.94,131.46,131.99,132.53,133.01,1042.130005,1048.719971,1053.77002,1059.300049,1040.060059,1042.52002,1031.359985,5.24
129.31,129.89,130.41,130.94,131.46,131.99,132.53,1038.380005,1042.130005,1048.719971,1053.77002,1059.300049,1040.060059,1042.52002,5.24
128.77,129.31,129.89,130.41,130.94,131.46,131.99,1034,1038.380005,1042.130005,1048.719971,1053.77002,1059.300049,1040.060059,5.24
126.15,128.77,129.31,129.89,130.41,130.94,131.46,1040.5,1034,1038.380005,1042.130005,1048.719971,1053.77002,1059.300049,5.24
125.63,126.15,128.77,129.31,129.89,130.41,130.94,1037.709961,1040.5,1034,1038.380005,1042.130005,1048.719971,1053.77002,5.24
125.17,125.63,126.15,128.77,129.31,129.89,130.41,1035.109985,1037.709961,1040.5,1034,1038.380005,1042.130005,1048.719971,5.24
124.71,125.17,125.63,126.15,128.77,129.31,129.89,1031.26001,1035.109985,1037.709961,1040.5,1034,1038.380005,1042.130005,5.24
124.22,124.71,125.17,125.63,126.15,128.77,129.31,1014.619995,1031.26001,1035.109985,1037.709961,1040.5,1034,1038.380005,5.24
123.66,124.22,124.71,125.17,125.63,126.15,128.77,1016.880005,1014.619995,1031.26001,1035.109985,1037.709961,1040.5,1034,5.24
123.12,123.66,124.22,124.71,125.17,125.63,126.15,1012.940002,1016.880005,1014.619995,1031.26001,1035.109985,1037.709961,1040.5,5.24
122.62,123.12,123.66,124.22,124.71,125.17,125.63,1012.460022,1012.940002,1016.880005,1014.619995,1031.26001,1035.109985,1037.709961,5.24
122.12,122.62,123.12,123.66,124.22,124.71,125.17,1015.679993,1012.460022,1012.940002,1016.880005,1014.619995,1031.26001,1035.109985,5.24
121.62,122.12,122.62,123.12,123.66,124.22,124.71,1034.050049,1015.679993,1012.460022,1012.940002,1016.880005,1014.619995,1031.26001,5.24
121.12,121.62,122.12,122.62,123.12,123.66,124.22,1037.51001,1034.050049,1015.679993,1012.460022,1012.940002,1016.880005,1014.619995,5.24
120.61,121.12,121.62,122.12,122.62,123.12,123.66,1034.969971,1037.51001,1034.050049,1015.679993,1012.460022,1012.940002,1016.880005,5.24
120.19,120.61,121.12,121.62,122.12,122.62,123.12,1023.950012,1034.969971,1037.51001,1034.050049,1015.679993,1012.460022,1012.940002,5.24
120.73,120.19,120.61,121.12,121.62,122.12,122.62,1042.319946,1023.950012,1034.969971,1037.51001,1034.050049,1015.679993,1012.460022,5.24
121.21,120.73,120.19,120.61,121.12,121.62,122.12,1038.619995,1042.319946,1023.950012,1034.969971,1037.51001,1034.050049,1015.679993,5.29
121.71,121.21,120.73,120.19,120.61,121.12,121.62,1039.530029,1038.619995,1042.319946,1023.950012,1034.969971,1037.51001,1034.050049,5.29
121.72,121.71,121.21,120.73,120.19,120.61,121.12,1031.550049,1039.530029,1038.619995,1042.319946,1023.950012,1034.969971,1037.51001,5.29
121.54,121.72,121.71,121.21,120.73,120.19,120.61,1038.859985,1031.550049,1039.530029,1038.619995,1042.319946,1023.950012,1034.969971,5.28
121.09,121.54,121.72,121.71,121.21,120.73,120.19,1025.540039,1038.859985,1031.550049,1039.530029,1038.619995,1042.319946,1023.950012,5.28
120.62,121.09,121.54,121.72,121.71,121.21,120.73,1026.839966,1025.540039,1038.859985,1031.550049,1039.530029,1038.619995,1042.319946,5.28
120.16,120.62,121.09,121.54,121.72,121.71,121.21,1036.599976,1026.839966,1025.540039,1038.859985,1031.550049,1039.530029,1038.619995,5.28
119.64,120.16,120.62,121.09,121.54,121.72,121.71,1042.369995,1036.599976,1026.839966,1025.540039,1038.859985,1031.550049,1039.530029,5.29
119.21,119.64,120.16,120.62,121.09,121.54,121.72,1043.719971,1042.369995,1036.599976,1026.839966,1025.540039,1038.859985,1031.550049,5.3
118.77,119.21,119.64,120.16,120.62,121.09,121.54,1061.27002,1043.719971,1042.369995,1036.599976,1026.839966,1025.540039,1038.859985,5.31
118.34,118.77,119.21,119.64,120.16,120.62,121.09,1070.030029,1061.27002,1043.719971,1042.369995,1036.599976,1026.839966,1025.540039,5.3
117.9,118.34,118.77,119.21,119.64,120.16,120.62,1069.589966,1070.030029,1061.27002,1043.719971,1042.369995,1036.599976,1026.839966,5.3
117.45,117.9,118.34,118.77,119.21,119.64,120.16,1058.630005,1069.589966,1070.030029,1061.27002,1043.719971,1042.369995,1036.599976,5.3
117.08,117.45,117.9,118.34,118.77,119.21,119.64,1044.390015,1058.630005,1069.589966,1070.030029,1061.27002,1043.719971,1042.369995,5.3
116.63,117.08,117.45,117.9,118.34,118.77,119.21,1045.310059,1044.390015,1058.630005,1069.589966,1070.030029,1061.27002,1043.719971,5.3
116.19,116.63,117.08,117.45,117.9,118.34,118.77,1053.47998,1045.310059,1044.390015,1058.630005,1069.589966,1070.030029,1061.27002,5.3
115.79,116.19,116.63,117.08,117.45,117.9,118.34,1046.939941,1053.47998,1045.310059,1044.390015,1058.630005,1069.589966,1070.030029,5.3
115.36,115.79,116.19,116.63,117.08,117.45,117.9,1044.48999,1046.939941,1053.47998,1045.310059,1044.390015,1058.630005,1069.589966,5.3
115.56,115.36,115.79,116.19,116.63,117.08,117.45,1031.73999,1044.48999,1046.939941,1053.47998,1045.310059,1044.390015,1058.630005,5.32
114.75,115.56,115.36,115.79,116.19,116.63,117.08,1033.52002,1031.73999,1044.48999,1046.939941,1053.47998,1045.310059,1044.390015,5.32
113.94,114.75,115.56,115.36,115.79,116.19,116.63,1049.150024,1033.52002,1031.73999,1044.48999,1046.939941,1053.47998,1045.310059,5.32
113.16,113.94,114.75,115.56,115.36,115.79,116.19,1051.800049,1049.150024,1033.52002,1031.73999,1044.48999,1046.939941,1053.47998,5.33
112.41,113.16,113.94,114.75,115.56,115.36,115.79,1052.420044,1051.800049,1049.150024,1033.52002,1031.73999,1044.48999,1046.939941,5.33
111.61,112.41,113.16,113.94,114.75,115.56,115.36,1055.160034,1052.420044,1051.800049,1049.150024,1033.52002,1031.73999,1044.48999,5.33
110.82,111.61,112.41,113.16,113.94,114.75,115.56,1049.290039,1055.160034,1052.420044,1051.800049,1049.150024,1033.52002,1031.73999,5.33
110.03,110.82,111.61,112.41,113.16,113.94,114.75,1054.199951,1049.290039,1055.160034,1052.420044,1051.800049,1049.150024,1033.52002,5.32
109.29,110.03,110.82,111.61,112.41,113.16,113.94,1069.160034,1054.199951,1049.290039,1055.160034,1052.420044,1051.800049,1049.150024,5.32
108.53,109.29,110.03,110.82,111.61,112.41,113.16,1052.160034,1069.160034,1054.199951,1049.290039,1055.160034,1052.420044,1051.800049,5.32
107.84,108.53,109.29,110.03,110.82,111.61,112.41,1051.880005,1052.160034,1069.160034,1054.199951,1049.290039,1055.160034,1052.420044,5.33
107.19,107.84,108.53,109.29,110.03,110.82,111.61,1037.150024,1051.880005,1052.160034,1069.160034,1054.199951,1049.290039,1055.160034,5.33
106.57,107.19,107.84,108.53,109.29,110.03,110.82,1028.329956,1037.150024,1051.880005,1052.160034,1069.160034,1054.199951,1049.290039,5.33
105.77,106.57,107.19,107.84,108.53,109.29,110.03,1037.150024,1028.329956,1037.150024,1051.880005,1052.160034,1069.160034,1054.199951,5.34
106.75,105.77,106.57,107.19,107.84,108.53,109.29,1034.420044,1037.150024,1028.329956,1037.150024,1051.880005,1052.160034,1069.160034,5.34
107.82,106.75,105.77,106.57,107.19,107.84,108.53,1031.560059,1034.420044,1037.150024,1028.329956,1037.150024,1051.880005,1052.160034,5.34
108.81,107.82,106.75,105.77,106.57,107.19,107.84,1034.650024,1031.560059,1034.420044,1037.150024,1028.329956,1037.150024,1051.880005,5.34
108.25,108.81,107.82,106.75,105.77,106.57,107.19,1038.01001,1034.650024,1031.560059,1034.420044,1037.150024,1028.329956,1037.150024,5.35
109.08,108.25,108.81,107.82,106.75,105.77,106.57,1037.099976,1038.01001,1034.650024,1031.560059,1034.420044,1037.150024,1028.329956,5.35
110.08,109.08,108.25,108.81,107.82,106.75,105.77,1042.469971,1037.099976,1038.01001,1034.650024,1031.560059,1034.420044,1037.150024,5.35
110.66,110.08,109.08,108.25,108.81,107.82,106.75,1056.790039,1042.469971,1037.099976,1038.01001,1034.650024,1031.560059,1034.420044,5.36
111.68,110.66,110.08,109.08,108.25,108.81,107.82,1061.199951,1056.790039,1042.469971,1037.099976,1038.01001,1034.650024,1031.560059,5.36
112.75,111.68,110.66,110.08,109.08,108.25,108.81,1074.569946,1061.199951,1056.790039,1042.469971,1037.099976,1038.01001,1034.650024,5.36
113.82,112.75,111.68,110.66,110.08,109.08,108.25,1085.76001,1074.569946,1061.199951,1056.790039,1042.469971,1037.099976,1038.01001,5.36
114.83,113.82,112.75,111.68,110.66,110.08,109.08,1090.170044,1085.76001,1074.569946,1061.199951,1056.790039,1042.469971,1037.099976,5.37
115.97,114.83,113.82,112.75,111.68,110.66,110.08,1091.26001,1090.170044,1085.76001,1074.569946,1061.199951,1056.790039,1042.469971,5.37
117.12,115.97,114.83,113.82,112.75,111.68,110.66,1084.48999,1091.26001,1090.170044,1085.76001,1074.569946,1061.199951,1056.790039,5.37
118.17,117.12,115.97,114.83,113.82,112.75,111.68,1080.439941,1084.48999,1091.26001,1090.170044,1085.76001,1074.569946,1061.199951,5.37
119.35,118.17,117.12,115.97,114.83,113.82,112.75,1073.209961,1080.439941,1084.48999,1091.26001,1090.170044,1085.76001,1074.569946,5.37
120.47,119.35,118.17,117.12,115.97,114.83,113.82,1071.660034,1073.209961,1080.439941,1084.48999,1091.26001,1090.170044,1085.76001,5.37
121.67,120.47,119.35,118.17,117.12,115.97,114.83,1075.160034,1071.660034,1073.209961,1080.439941,1084.48999,1091.26001,1090.170044,5.37
122.89,121.67,120.47,119.35,118.17,117.12,115.97,1064.47998,1075.160034,1071.660034,1073.209961,1080.439941,1084.48999,1091.26001,5.37
124.11,122.89,121.67,120.47,119.35,118.17,117.12,1067.660034,1064.47998,1075.160034,1071.660034,1073.209961,1080.439941,1084.48999,5.37
125.34,124.11,122.89,121.67,120.47,119.35,118.17,1080.569946,1067.660034,1064.47998,1075.160034,1071.660034,1073.209961,1080.439941,5.37
124.53,125.34,124.11,122.89,121.67,120.47,119.35,1075.849976,1080.569946,1067.660034,1064.47998,1075.160034,1071.660034,1073.209961,5.37
125.77,124.53,125.34,124.11,122.89,121.67,120.47,1071.569946,1075.849976,1080.569946,1067.660034,1064.47998,1075.160034,1071.660034,5.37
127.03,125.77,124.53,125.34,124.11,122.89,121.67,1053.52002,1071.569946,1075.849976,1080.569946,1067.660034,1064.47998,1075.160034,5.37
128.29,127.03,125.77,124.53,125.34,124.11,122.89,1050.75,1053.52002,1071.569946,1075.849976,1080.569946,1067.660034,1064.47998,5.37
129.57,128.29,127.03,125.77,124.53,125.34,124.11,1053.160034,1050.75,1053.52002,1071.569946,1075.849976,1080.569946,1067.660034,5.37
130.86,129.57,128.29,127.03,125.77,124.53,125.34,1034.469971,1053.160034,1050.75,1053.52002,1071.569946,1075.849976,1080.569946,5.38
132.17,130.86,129.57,128.29,127.03,125.77,124.53,1029.420044,1034.469971,1053.160034,1050.75,1053.52002,1071.569946,1075.849976,5.38
133.49,132.17,130.86,129.57,128.29,127.03,125.77,1031.150024,1029.420044,1034.469971,1053.160034,1050.75,1053.52002,1071.569946,5.38
134.83,133.49,132.17,130.86,129.57,128.29,127.03,1037.599976,1031.150024,1029.420044,1034.469971,1053.160034,1050.75,1053.52002,5.38
136.19,134.83,133.49,132.17,130.86,129.57,128.29,1030.420044,1037.599976,1031.150024,1029.420044,1034.469971,1053.160034,1050.75,5.37
137.56,136.19,134.83,133.49,132.17,130.86,129.57,1048.930054,1030.420044,1037.599976,1031.150024,1029.420044,1034.469971,1053.160034,5.37
136.85,137.56,136.19,134.83,133.49,132.17,130.86,1052.699951,1048.930054,1030.420044,1037.599976,1031.150024,1029.420044,1034.469971,5.37
135.96,136.85,137.56,136.19,134.83,133.49,132.17,1045.650024,1052.699951,1048.930054,1030.420044,1037.599976,1031.150024,1029.420044,5.37
135.27,135.96,136.85,137.56,136.19,134.83,133.49,1047.560059,1045.650024,1052.699951,1048.930054,1030.420044,1037.599976,1031.150024,5.37
136.63,135.27,135.96,136.85,137.56,136.19,134.83,1058.02002,1047.560059,1045.650024,1052.699951,1048.930054,1030.420044,1037.599976,5.37
135.96,136.63,135.27,135.96,136.85,137.56,136.19,1052.930054,1058.02002,1047.560059,1045.650024,1052.699951,1048.930054,1030.420044,5.37
135.28,135.96,136.63,135.27,135.96,136.85,137.56,1050.75,1052.930054,1058.02002,1047.560059,1045.650024,1052.699951,1048.930054,5.37
134.64,135.28,135.96,136.63,135.27,135.96,136.85,1057.199951,1050.75,1052.930054,1058.02002,1047.560059,1045.650024,1052.699951,5.37
133.99,134.64,135.28,135.96,136.63,135.27,135.96,1061.02002,1057.199951,1050.75,1052.930054,1058.02002,1047.560059,1045.650024,5.36
